ts_utc,coin,price,headline_horizon,fc_move_pct,cost_ratio,cost_state,h1_pct,h1_lo,h1_hi,h1_r2,h4_pct,h4_lo,h4_hi,h4_r2,h24_pct,h24_lo,h24_hi,h24_r2,regime,regime_pctile,regime_anchored,expansion,confidence,season_now,funding,oi_chg,long_short,cvd_1h_pct,beta_to_factor
2026-09-08T01:20:22Z,BTC,79330.000000,24h,1.6708,9.83,OK,0.2653,79099.155025,79519.903007,0.4724,0.5554,78869.950103,79750.996766,0.4985,1.6708,77995.130508,80645.510747,0.3141,CALM,25.4,1,STEADY,HIGH,1.466,0.000073,1.00,1.164,-2.75,1.000
2026-09-08T01:20:22Z,ETH,2499.460000,24h,2.3767,13.98,OK,0.3644,2489.562652,2507.770519,0.3104,0.7652,2479.602986,2517.843323,0.3742,2.3767,2439.963707,2558.747822,0.2749,NORMAL,41.8,1,STEADY,MED,1.221,0.000039,0.03,2.285,9.32,1.137
2026-09-08T01:20:22Z,SOL,104.110000,4h,0.9362,5.51,OK,0.4381,103.634956,104.547042,0.4170,0.9362,103.120025,105.069099,0.4257,2.9576,101.056523,107.214535,0.3140,NORMAL,59.1,1,STEADY,HIGH,1.214,0.000019,-2.56,1.987,1.07,1.107
2026-09-08T01:20:22Z,BNB,740.990000,24h,2.0605,12.12,OK,0.2849,738.781891,743.004125,0.4247,0.6067,736.408633,745.398638,0.4261,2.0605,725.779907,756.314672,0.4716,NORMAL,68.0,1,CONTRACTING,HIGH,1.324,0.000029,-2.91,2.274,15.58,0.736
2026-09-08T01:20:22Z,XRP,1.401900,4h,0.9758,5.74,OK,0.4518,1.395182,1.407847,0.5062,0.9758,1.387891,1.415243,0.5650,2.9543,1.360702,1.443522,0.2988,NORMAL,67.7,1,STEADY,HIGH,0.899,0.000044,0.82,2.321,-9.58,1.503
2026-09-08T01:20:22Z,DOGE,0.091170,4h,1.2456,7.33,OK,0.5904,0.090633,0.091710,0.4391,1.2456,0.090041,0.092313,0.4249,3.9076,0.087676,0.094803,0.1333,STORM,81.1,1,STEADY,HIGH,0.914,0.000099,2.44,2.578,10.18,1.317
2026-09-22T23:09:26Z,BTC,86431.000000,24h,1.8862,11.10,OK,0.3410,86136.797254,86726.187536,0.3232,0.6990,85828.976256,87037.226334,0.3023,1.8862,84815.981220,88076.750689,0.2635,NORMAL,60.8,1,CONTRACTING,MED,0.583,-0.000001,-1.71,0.895,-7.55,1.000
2026-09-22T23:09:26Z,ETH,2764.260000,4h,0.9243,5.44,OK,0.4546,2752.059363,2777.197783,0.1977,0.9243,2739.164365,2790.271828,0.1623,2.4458,2697.802522,2833.051381,0.2454,NORMAL,37.9,1,CONTRACTING,MED,0.640,0.000095,0.07,2.383,8.22,1.138
2026-09-22T23:09:26Z,SOL,119.110000,4h,1.1931,7.02,OK,0.5830,118.437488,119.826561,0.2185,1.1931,117.717101,120.559857,0.1345,3.0040,115.604605,122.762903,0.3084,NORMAL,45.9,1,CONTRACTING,MED,0.694,0.000067,-0.24,1.709,11.98,1.309
2026-09-22T23:09:26Z,BNB,789.200000,24h,1.9310,11.36,OK,0.3441,786.478965,791.910380,0.2764,0.7422,783.353976,795.069503,0.1389,1.9310,774.096564,804.577730,0.4676,NORMAL,45.9,1,CONTRACTING,HIGH,0.615,0.000008,-5.64,2.206,21.02,0.815
2026-09-22T23:09:26Z,XRP,1.580200,1h,0.8707,5.12,OK,0.8707,1.566501,1.594019,0.3478,1.8016,1.551987,1.608926,0.3387,3.8096,1.521132,1.641561,0.2770,STORM,82.9,1,STEADY,HIGH,0.549,0.000100,-1.05,2.274,-13.20,1.509
2026-09-22T23:09:26Z,DOGE,0.101200,1h,0.9297,5.47,OK,0.9297,0.100224,0.102105,0.2718,1.9058,0.099250,0.103106,0.2838,4.2812,0.096921,0.105585,0.1501,STORM,88.0,1,STEADY,MED,0.621,0.000100,0.72,2.592,16.56,1.412
